id,fullpath,dcTitle,entity,uri
33068,"/Persone/Daddi, Ilaria (33068)","Daddi, Ilaria",,
33069,"/Persone/Boccalini, Stefano (33069)",Stefano Boccalini,Q133670683,https://www.wikidata.org/wiki/Q133670683
33070,"/Persone/Spiteri, Carmela (33070)","Spiteri, Carmela",,
33071,"/Persone/Cottafavi, Alberto (33071)","Cottafavi, Alberto",,
33072,"/Persone/Facchini, Donato (33072)","Facchini, Donato",,
33074,"/Persone/Gabbi, Luisa (33074)","Gabbi, Luisa",,
33075,"/Persone/Panini, Antonella (33075)","Panini, Antonella",,
33076,"/Persone/Zucchetti, Pierpaolo (33076)","Zucchetti, Pierpaolo",,
33077,"/Persone/Dolci, Raffaella (33077)","Dolci, Raffaella",,
33078,"/Persone/Lercher, Helga (33078)","Lercher, Helga",,
33079,"/Persone/Boscaini, Maria (33079)",Anna Maria Boscaini,Q125547254,https://www.wikidata.org/wiki/Q125547254
33080,"/Persone/Brugnoli, Federica (33080)","Brugnoli, Federica",,
33081,"/Persone/Suppi, Francesco (33081)","Suppi, Francesco",,
33082,"/Persone/Malory, Thomas (33082)",Thomas Malory,Q309907,https://www.wikidata.org/wiki/Q309907
33083,"/Persone/Pasqualino, Antonio (33083)",Antonio Pasqualino,Q106537193,https://www.wikidata.org/wiki/Q106537193
33084,"/Persone/Vibaek, Jean (33084)","Vibaek, Jean",,
33085,"/Persone/Barone, Francesco (33085)",Francesco Barone,Q3749602,https://www.wikidata.org/wiki/Q3749602
33086,"/Persone/Artioli, Umberto (33086)",Umberto Artioli,Q4003317,https://www.wikidata.org/wiki/Q4003317
33087,"/Persone/Xaxa, Rita (33087)","Xaxa, Rita",,
33088,"/Persone/Pinna, Massimo (33088)","Pinna, Massimo",,
33090,"/Persone/Modugno, Paolo (33090)","Modugno, Paolo",,
33091,"/Persone/Bergamo, Fabia (33091)","Bergamo, Fabia",,
33092,"/Persone/Garcia, Miriam (33092)",Míriam R. García,Q30511973,https://www.wikidata.org/wiki/Q30511973
33093,"/Persone/Giser, Tanny (33093)","Giser, Tanny",,
33094,"/Persone/Savastano, Patricia (33094)","Savastano, Patricia",,
33095,"/Persone/Tersigni, Marcella (33095)","Tersigni, Marcella",,
33096,"/Persone/Gianini, Giulio (33096)",Giulio Gianini,Q2491058,https://www.wikidata.org/wiki/Q2491058
33097,"/Persone/Tinti, Antonio (33097)",Antonio Tintis,Q136376463,https://www.wikidata.org/wiki/Q136376463
33099,"/Persone/Bergonzini, Clariti (33099)","Bergonzini, Clariti",,
33100,"/Persone/Mammi, Daniela (33100)","Mammi, Daniela",,
33101,"/Persone/Mammi, Ebba (33101)","Mammi, Ebba",,
33102,"/Persone/Padovani, Carla (33102)","Padovani, Carla",,
33103,"/Persone/Viscomi, Marj (33103)","Viscomi, Marj",,
33104,"/Persone/Brunel, Bunny (33104)",Bunny Brunel,Q4997843,https://www.wikidata.org/wiki/Q4997843
33106,"/Persone/Minoli, Giovanni (33106)",Giovanni Minoli,Q3767749,https://www.wikidata.org/wiki/Q3767749
33107,"/Persone/Calvetti, Paola (33107)",Paola Calvetti,Q3893533,https://www.wikidata.org/wiki/Q3893533
33108,"/Persone/Nevano, Vittorio (33108)",Vittorio Nevano,Q13469721,https://www.wikidata.org/wiki/Q13469721
33110,"/Persone/Tempera, Mariangela (33110)","Tempera, Mariangela",,
33111,"/Persone/Bondoni, Simonetta M. (33111)",Maria Simonetta Bondoni Pastorio,Q15143113,https://www.wikidata.org/wiki/Q15143113
33113,"/Persone/Potter, Tully (33113)",Tully Potter,Q60838420,https://www.wikidata.org/wiki/Q60838420
33116,"/Persone/Schönberg Nono, Nuria (33116)",Nuria Schoenberg Nono,Q20644305,https://www.wikidata.org/wiki/Q20644305
33117,"/Persone/Borio, Gianmario (33117)",Gianmario Borio,Q62559586,https://www.wikidata.org/wiki/Q62559586
33118,"/Persone/Carapezza Guttuso, Fabio (33118)",Fabio Carapezza Guttuso,Q131776619,https://www.wikidata.org/wiki/Q131776619
33119,"/Persone/TJeknavorian, Emmanuel (33119)",Emmanuel Tjeknavorian,Q18786283,https://www.wikidata.org/wiki/Q18786283
33120,"/Persone/Pilsan, Aaron (33120)",Aaron Pilsan,Q18921279,https://www.wikidata.org/wiki/Q18921279
33121,"/Persone/Masotti, Roberto (33121)",Roberto Masotti,Q94109804,https://www.wikidata.org/wiki/Q94109804
33123,"/Persone/Roncaglia, Gino (33123)",Gino Roncaglia,Q3764716,https://www.wikidata.org/wiki/Q3764716
33124,"/Persone/Cammarano, Anna (33124)","Cammarano, Anna",,
